IdHogar;IdPersona;IdViaje;Edad;NivelEducativo;Sexo;Barrio;Estrato;CantidadHogares;TotalPersonas;RangoIngresos;TotalVehiculos;Municipio;Aplicacion;ModoPrincipal;Localidad;TipoVehiculo;DesplazamientoOrigen;Coordenadas_origen;DesplazamientoDestino;Cluster
16174;16174-6;16174-6-2;15;SEC-IN;Sin Dato;SALITRE ORIENTAL;5;1;6;Mas de $ 9.000.000;2;BOGOTA, D.C;Uber ;Transporte Escolar;SUBA;Carro;SUBA;;TEUSAQUILLO;cluster_0
16174;16174-6;16174-6-1;15;SEC-IN;Sin Dato;SALITRE ORIENTAL;5;1;6;Mas de $ 9.000.000;2;BOGOTA, D.C;Uber ;Transporte Escolar;TEUSAQUILLO;Carro;TEUSAQUILLO;;SUBA;cluster_0
16193;16193-6;16193-6-2;6;PRI-IN;Sin Dato;SUCRE;1;3;7;$ 1.500.001 - $ 2.000.000;1;BOGOTA, D.C;Uber ;A pie;USME;Moto;USME;;USME;cluster_0
16193;16193-6;16193-6-1;6;PRI-IN;Sin Dato;SUCRE;1;3;7;$ 1.500.001 - $ 2.000.000;1;BOGOTA, D.C;Uber ;A pie;USME;Moto;USME;;USME;cluster_0
16195;16195-6;16195-6-2;17;UNI-IN;Mujer;CIUDAD JARDIN;3;1;8;$ 2.000.001 - $ 2.500.000;1;BOGOTA, D.C;Uber ;A pie;BARRIOS UNIDOS;Carro;BARRIOS UNIDOS;;ANTONIO NARINO;cluster_0
16195;16195-6;16195-6-1;17;UNI-IN;Mujer;CIUDAD JARDIN;3;1;8;$ 2.000.001 - $ 2.500.000;1;BOGOTA, D.C;Uber ;A pie;ANTONIO NARINO;Carro;ANTONIO NARINO;4°35?30?N 74°06?23?O;BARRIOS UNIDOS;cluster_0
16209;16209-6;16209-6-2;9;SEC-IN;Sin Dato;EL HATO;2;1;6;$ 0 - $ 828.116;0;FUNZA;Uber ;A pie;UPR;No tiene vehículo;FUNZA;;FUNZA;cluster_0
16209;16209-6;16209-6-1;9;SEC-IN;Sin Dato;EL HATO;2;1;6;$ 0 - $ 828.116;0;FUNZA;Uber ;A pie;UPR;No tiene vehículo;FUNZA;;FUNZA;cluster_0
1621;1621-6;1621-6-1;20;TEC-COM;Mujer;LOS MOLINOS 2;2;1;6;$ 2.500.001 - $ 3.500.000;0;BOGOTA, D.C;Uber ;A pie;UPR;No tiene vehículo;UPR;;UPR;cluster_0
1621;1621-6;1621-6-2;20;TEC-COM;Mujer;LOS MOLINOS 2;2;1;6;$ 2.500.001 - $ 3.500.000;0;BOGOTA, D.C;Uber ;A pie;UPR;No tiene vehículo;UPR;;UPR;cluster_0
